name	year	discipline	total_years	society_name	society_members	attendees	venue	frequency	sponsors	virtual_option	digital_archives	attendance_cost	registration_fee	carbon_footprint	other_carbon_footprint	electonic_program	onsite_maternity	onsite_childcare	caregiver_grant	career_development	ecr_promotion_events	travel_awards	code_of_conduct	safety_instructions	gender_balance	keynote_gender_balance	speaker_gender_balance	invited_gender_balance	session_chair_gender_balance	conference_chair_gender_balance	environmental_sustainability	public_engagement	sustainability_initiatives	conference_url	other_details
International Conference on Research in Computational Molecular Biology (RECOMB)	2020	Computational Biology	22	Research in Computational Molecular Biology, George Washington University in partnership with Cell systems	Not Applicable, not a society	300	Washington DC, United States	Annual	NSF/IBM(http://www.research.ibm.com/), ISCB(https://www.iscb.org/), Akamai(https://www.akamai.com/), Natera(https://www.natera.com/), Journal of Computational Biology(https://home.liebertpub.com/publications/journal-of-computational-biology/31//overview), Springer(https://www.springer.com/gp), Computationa (MDPI)(https://www.mdpi.com/journal/computation), The George Washington University(https://www.gwu.edu/), Computational Biology Institute(https://cbi.gwu.edu/)	None	select Talks are available free for a short period of time only archived: Free access to RECOMB proceedings is provided from April 29 until May 29 courtesy of Springer. Slides were only available from two panel sessions.	 $2000-$4000	 $260-520	450	90	Yes, Daily schedule for talks was availabe on conference website, Mobile App and .pdf program booklet was also available online.	None	None	None	None	None	Yes but very limited for graduate and postdoctoral trianees. RECOMB awarded student travel fellowships with preference for accepted paper authors. 6 were awarded by ISCB and 15 were awarded by NSF.	None	None	None	4 Men: 2 Women	Not Applicable to this meeting.	Not Applicable to this meeting.	Not Applicable to this meeting.	Organizing committee: 2 Men: 2 Women, Program committee: Men: Women	None	None	None	https://www.recomb2020.org/	
NACCB (North American Congress for Conservation Biology) meeting	2018	Conservation Biology	5	North American Society for Conservation Biology	5000	4000	Toronto, Canada	Biennial	Doris Duke Charitable foundation(https://www.ddcf.org/home/), University of Toronto (https://www.utoronto.ca/), Wilburforce Foundation (http://www.wilburforce.org/), Conservation Science PArtners (https://www.csp-inc.org/), Metcalf Foundation (https://metcalffoundation.com/), WCS Canada (https://www.wcscanada.org/), Credit Valley Conservation (https://cvc.ca/), Center for biological diversity(https://www.biologicaldiversity.org/), Parks Canada(https://www.pc.gc.ca/en/index), Fisheries and Oceans Canada (http://www.dfo-mpo.gc.ca/index-eng.htm), Bullfrogpower, Toronto and Region conservation for the living city, COMPASS	None	Yes but only recording on planery sessions(https://www.youtube.com/channel/UCpzzRMixGJwRJRSiccJzJXA)	 $2000-$4000	$185-$470	6000	1200	Yes Online scientific program was available.	None	None	None	Yes (1. Short Course: Conservation Policy Crash-Course for Scientists  2. Workshop: Collaborative Conservation Among Diverse Stakeholders: Building understanding and skills for practical application  3. Workshop: Conservation and Art: Exploring the importance of the intersection of art and science  4. Workshop: Learning to collaborate in and out of the classroom: A toolkit for more inclusive conservation   5.Workshop: Building a Better Fieldwork Future: Preventing & Managing Sexual Harassment and Assault in the Field 6. Workshop: Interactive Science Communication Workshop  7. Workshop: Leveraging untapped audiences for conservation )	None	Yes (Student & Chapter Travel Awards)	https://scbnorthamerica.org/index.php/meeting-event-code-of-conduct/	None	Yes (SCB North America’s Equity, Inclusion and Diversity Committee exists to facilitate and carry out initiatives designed to promote equity, inclusion and diversity within both SCBNA and will work to increase equity, inclusion and diversity in the field of conservation across all levels – including the public, students, professionals, and leaders in the field. The committee will update this page with EID policies and initiatives as they develop. The committee is hard at work developing initiatives related to the 2020 NACCB conference.  Please read below for committee accomplishments at the 2018 NACCB conference.  Looking to the future, the committee plans to increase engagement on these issues within the Society, its events, and within the conservation community at large, together with support from partner organizations including the Diversity Joint Venture, 500 Women Scientists, and others.) More here: https://scbnorthamerica.org/index.php/equity-inclusion-and-diversity-committee/	Not Applicable to this meeting.	13 Women: 8 Men	No information available online.	No information available online.	1 Man: 8 Women	None	None	None	https://scbnorthamerica.org/index.php/naccb-2020/	
ASHG meeting	2019	Human Genetics	72	American Society of Human Genetics meeting	8000	7000	San Diego, California	Annual	Color, Biogen, PerkinElmer, NIH, PerkinElmer genomics	None	None	 $2000-$4000	$210-$675	10500	2100	None	Yes (A Family/Nursing Mothers Room will be located in the convention center to give parents and children a place to relax during the meeting. The room will be equipped with comfortable furniture and separate private areas for nursing mothers. Attendees may not use this room for babysitting purposes.)	Yes (Note: ASHG offers official child care, where you can pay for babysitting services and activities, as well as a quiet family room at the convention center with private areas for nursing mothers. ASHG encourages families to travel to Houston and enjoy the many family-oriented activities the city has to offer. In partnership with KiddieCorp, ASHG will provide formal child care at the convention center, for which advance registration is required. For the safety and security of your child(ren), ASHG has the right to refuse care to any child based on space availability as well as to any child unable to adapt to group situations, or to any child whose presence or behavior may disrupt the program or endanger the health or safety of other children. Note: Meals are not included. Parents can order lunch in advance; an order form will be sent to all parents. Additionally, staff will not administer medication (including sunscreen), and any child who is ill will not be admitted to the center.)	None	Yes(Meet and Collaborate with Other Undergraduate Educators, Find New Jobs and Post on the Online Career Center, Get Your CV Reviewed, Attend the First-Ever Career Fair, Career Center at ASHG Central, Trainee Events such as (1. Mentoring and Networking  2. Scientific Skill-Building  3. Career/Professional Development  4. ASHG Diversity Breakfast))	None	Yes only for scholars of developing countries and US minorities (diversity travel award): 1. ASHG Developing Country Awards ASHG, in partnership with PerkinElmer Genomics, is providing up to 12 scholarship awards ($3,000 each) for individuals living in countries categorized by the World Bank as having low-income or lower-middle-income economies (see the list of eligible countries). Developing Country Awards are to help defray the costs of airfare, hotel, meals and registration for the ASHG 2019 Annual Meeting. To be considered for the award, you must submit an abstract by the June 6 deadline and must attend the meeting. Funds will be distributed at the meeting. Qualifying authors will also be required to submit a CV/Resume. In 2019, ASHG has also partnered with NHGRI and H3Africa to add up to 25 additional awards to individuals living in countries in Africa categorized by the World Bank as having low-income or lower-middle-income economies, with priority given to trainees and early- to mid-career investigators. Awardees will receive up to $3,000 in travel support arranged through the H3Africa program.     2. Human Genetics Scholars Initiative ASHG, in partnership with the National Human Genome Research Institute (NHGRI), Color, and Biogen, launched the Human Genetics Scholars Initiative in April 2019 to help advance diversity and inclusion in the field. To be considered for the award. Over the course of this two-year, intensive program, each scholar will receive:     Complimentary ASHG membership for two years     Complimentary registration, travel, and hotel accommodation for two ASHG Annual Meetings     A dedicated mentor for the two-year period, and support in identifying and building other potential mentor relationships, such as peer and subject-matter mentors     $1,000 annually in enrichment funds for qualified career development of their choosing. 	https://www.ashg.org/meetings/2019meeting/attendees/meeting-policies/	None	None	No information available online.	No information available online.	No information available online.	No information available online.	No information available online.	None	None	None	https://www.ashg.org/meetings/2019meeting/sessions/career/	The ASHG Annual Meeting is the oldest and largest international human genetics conference worldwide. It is held each fall in a major U.S. or Canadian city.
The ASM microbiome conference	2020	Microbiology	121	American society for microbiology	47,000	20000	San Francisco, California	Annual	ATCC, BD, Luminex, Hologic, Roche, T2Biosystems, BioFire, QIAGENE, Astellas	None	Yes ePosters were available for previous year(2019)meeting only. Recorded sessioin for previous meetings (e.g. 2019) was available at a price ($340-$540).	 $2000-$4000	$125-$895	30000	6000	Yes scientific program was available on conference website by Day and by Track.	None	None	None	Yes (1.Tell Everyone About Your Science: A Workshop in Communicating to Friends, Family, and Legislators.  2.A Hands-on Workshop on Science Education Research)	None	None	None	None	None	No information available online.	No information available online.	No information available online.	No information available online.	Steering Committee: 6 Men: 5 Women, Program Committee: 24 Women: 17 Men	None	None	None	https://www.asm.org/Events/ASM-Microbe/Home	The American Society for Microbiology (ASM) is the oldest and largest single life science membership organization in the world. Membership has grown from 59 scientists in 1899 to more than 47,000 members today, with more than one third located outside the United States. The members represent 26 disciplines of microbiological specialization plus a division for microbiology educators. 
I Scientist meeting	2019	Multidisciplinary	4	Not applicable	Not Applicable	200	Berlin, Germany	Annual	@iscientistconf, partners:https://www.iscientist.berlin/partners	None	None	 $2000-$4000	~$100 	60	60	Yes the program/schedule was available online (https://www.iscientist.berlin/schedule)	None	Yes, free and on-site (Professional childcare at the conference will be provided free of cost in cooperation with the family service of Technische Universität Berlin. The childcare will take place in a room at the conference venue, so you will be close to your child or children at all times. Toys fitting for the age of the registered children will be provided by the childcare service. Should you want to make use of this service, or have any questions, please contact us via contact at iscientist.de. To register your child or children for the childcare service please send us an email by August 15, 2019. In your email please specify the number of children you need to be taken care of, their age, the times at which you would like to make use of the childcare service and whether your children have any special needs.)	None	None	Yes(career fair+ Networking events:Ice breaker event+Networking breakfast+conference dinner)	None	https://www.iscientist.berlin/code-of-conduct	None	None	Opening Speakers: 3 Women, Keynote speakers: 1	12 Women: 4 Men	17 Women: 3 Men	Not Applicable to this meeting.	No information available online.	None	None	None	https://www.iscientist.berlin/	
ASBMB meeting	2018	Cell Biology	114	American Society for Biochemistry and Molecular Biology	12,000	9000	San Diego, California, USA	Annual		None	None	 $2000-$4000	$95-$785	13500	2700	Yes Daily program schedules were available on ASBMB website.	None	None	Yes (The ASBMB is accepting applications for grant support to help off-set the cost of child care to enable members with dependent children to present their research at the ASBMB annual meeting. The ASBMB Child Care Grant is a reimbursable allowance of up to $1,000 towards one of the eligible scenarios detailed below. Funds may not be used for on-going child care expenses or the costs associated with transporting the child(ren) or the attendee to the meeting.)	Yes (1. ASBMB Lab Management Course: Are you a new faculty member or PI? Are you a postdoctoral fellow or senior graduate student that is interested in starting your own lab? How do you go about setting up your lab? How will you manage an initial budget to get off to a great start? Who will you hire? What criteria will you use to select your staff and how will you mentor your trainees successfully? Will you be able to communicate effectively with your staff, and how will you handle any conflicts when they arise? If you have considered any of these questions, then sign up for this free interactive session.)	Yes ( 1. Undergraduate student research poster competition events  2. Undergraduate CREST (Connecting Researchers, Educators and Students) teams will meet to discuss their shared research interests.)	Yes(2020 Travel Awardee career development program)	https://www.asbmb.org/meetings-events/code-of-conduct	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	Featured Award Lectures: 2 Men: 2 Women	No information available (Session chair first names missing)	1 Man: 1 Woman, Meetings Committee: 7 Men: 5 Women, 2020 Annual Meeting Program Planning Committee: 9 Men: 8 Women	None	None	None	https://www.asbmb.org/meetings-events/2020-annual-meeting	
Virology & Infectious Diseases (ICVID)	2018	Virology & Infectious Diseases 	14	Not applicable	Not Applicable	2000	London, UK	Annual		None	None	 $2000-$4000	$400-$650	3000	600	Yes the program includinfg abstracts was available online on ICVID website).	None	None	None	None	None	None	None	None	None	Not Applicable to this meeting.	Not Applicable to this meeting.	Not Applicable to this meeting.	5 Men: 1 Woman	28 Men: 2 Women	None	None	None	https://waset.org/virology-and-infectious-diseases-conference-in-february-2020-in-london	
AfSHG meeting in collaboration with the 1st Congress of the Malian Society of Human Genetics meeting	2019	Human Genetics	12	African Society of Human Genetics 	300	210	Bamako, Mali	Annual		None	None	 $2000-$4000	$50-$600 	315	63	None	None	None	None	None	None	Yes (Young Scientist Travel Fellowship)	None	None	None	No Information available online	No Information available online	No Information available online	No Information available online	8 Men: 2 Women	None	None	None	https://afshgmeetings.org/mali-2019	210 delegates came from 21 African countries and from France, Switzerland, UK, UAE, Canada and the USA: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5870411/
THS meeting	2019	Human Health	5	Tanzania Health Summit	600	400	Dodoma, Tanzania	Annual		None	None	 $2000-$4000	No information available online	600	120	Yes program book was available as .pdf file on conference website.	None	None	None	Yes (Youth Capacity Buiding workshop: introducing youth to the latest trends worldwide in leadership, entrepreneurship, promotion, CV writing and personality development techniques. The workshop aims to strengthen capacity of young generation to take action on their personal development and to contribute towards the achievement of the national development vision 2025. It will also provide a platform to allow young people to express their expectations in leadership, job creation etc.) 	None, no ECR awards or promotion events	None	None	None	None	Not Applicable to this meeting.	26 Men: 9 Women	29 Men: 15 Wome	Not Applicable to this meeting.	Conference Chair: 1 Man, Organizing Committee: chair: 1 Man, members: 8 Men: 4 Women, Board memebrs: 6 Men: 2 Women	None	None	None	https://ths.or.tz/thsconference/	
ESHG (European Human Genetics) meeting	2017	Human Genetics	19	The European Society for Human Genetics	3,000	2000	Vienna, Austria	Annual	10X Genomics, Agilent Technologies, Multiplicom. Asuragen, NanoString Technologies, BD Life Sciences, NimaGen, BGI, NIPD Genetics, BLUEBEE, Progeny Genetics, Blueprint Genetics, Promega, Canon BioMedical, QIAGEN, Centogene, Repositive, Congenica, Roche Sequencing Solutions, Covaris, Sekisui Diagnostics, Enzo Life Sciences, Sistemas Genómicos, Fabric Genomics,, Sophia Genetics, Face2Gene, Springer Nature, Illumina, Theragen Etex, Integrated, DNA Technologies, Thermo Fisher Scientific, Leymus Genomics, Wiley Publishing	None (capability was there but livestreaming did not happen to hubs globally:The plenary lecture hall is equipped with a live transmission possibility to the Live area area in the exhibition. )	Yes but selected slides and talks only are available via conference Youtube channel	 $2000-$4000	$217-$650	3000	600	Yes App & electronic program book on the conference website is available	None	None	None	None	Yes (Young Investigator Awards The ESHG awards prizes of EUR 500.- (together with a free participation at the next meeting) for outstanding research by young scientists presented as a spoken contribution at the conference, namely: – Young Investigator Awards for Outstanding Science – Isabelle Oberlé Award for Research on Genetics of Intellectual Disability – Lodewijk Sandkuijl Award for the best talk in Statistical Genetics – Vienna Medical Academy Award for the best talk in Translational Medicine – Mia Neri Award for the best talk in Cancer Research – ELPAG Award for the best talk in the ELPAG track – ESHG Poster Awards All young scientists submitting spoken presentations are encouraged to apply by ticking the corresponding box during submission. The nominee must be first author (i.e. presenting author) on an abstract submitted for spoken presentation and should not be more than four years post-doctoral and not a Principal Investigator (P.I.). The best scored abstracts, which could not be selected for oral presentation will automatically compete for the ESHG Poster Awards.)	Yes (1.Conference Fellowships for European Countries The ESHG provides 70 conference fellowships, which will be awarded by the Scientific Programme Committee to Young Investigators (not more than 4 years post-doctoral) from a restricted number European Countries based on abstract acceptance. The fellowship comprises the waiving of the registration fee, as well as EUR 300.- as contribution towards travel expenses.  2.Conference Fellowships for Non-European Countries The ESHG provides 20 conference fellowships, which will be awarded by the Scientific Programme Committee to Young Investigators (not more than 4 years post-doctoral) from a restricted number Non-European Countries (5 fellowships for each Middle and South America, Africa, Middle East and Asia) based on abstract acceptance.  3.Conference Fellowships of Excellence The ESHG provides 5 conference fellowships, which will be awarded by the Scientific Programme Committee to the best submissions by Young Investigators (not more than 4 years post-doctoral) based on the peer-reviewing process. No country restrictions do apply. The fellowship comprises the waiving of the registration fee, as well as EUR 600.- as contribution towards travel expenses.  4. ‘National’ Fellowships The ESHG is offering fellowships to young investigators under 35 years of age via the National Human Genetics Societies of Europe. The national society will select one fellowship holder, which should comply with the following criteria: – She/he should be a member of the national society. – She/he should have shown excellence in the field of human genetics, and/or have given a good presentation/poster at the latest national meeting. Limitations: – She/he should not be over 35 years of age – She/he cannot receive more than one fellowship in consecutive years. Formalities: Please inquire with your national society. Benefits: – Free registration (including social events and lunches) – Accommodation and Travel support up to a maximum amount of EUR 600.)	None	No App but instruction were provided on conference website(Safety – Crime Copenhagen remains a relatively safe, secure city. However, use of common sense is (always) required, as in any large city. Experience has shown that some basic precautionary measures should always be kept in mind in any city: – Do not carry important items like flight tickets, passports etc. with you when visiting the conference or strolling through the city, leave them in the hotel safe during your stay. Rather carry a Xerox copy of your passport or an identity card with you. – Try not to carry all documents, money, credit cards and other essential items and valuables in one bag or purse. If it is lost or stolen, everything will be gone and might be difficult to replace on short notice, especially passports and visa to return to your country of residence. – Take off your name badge when leaving the conference centre. – In heavily frequented tourist zones and the metro at rush hour, be aware of attemps of scam and pickpocketing. – Do not respond to anybody unknown to you who comes up to you on the street engaging you in a conversation, no matter how safe they appear to be. A list of current scam schemes and further advice can be found: Further advice can be found on Copenhagen Trip Advisory website) 	None	Not Applicable to this meeting.	9 Men: 6 Women	56 Men: 19 Women	22 Men: 7 Women	1 Man	None	None	None	https://2017.eshg.org/	
